node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,1.1514,0.0,,0,2,0.5,3
1,-5.183246073298429,-78.75,1.1514,22.155432035341377,,0,4,0.5833333333333334,11
2,-4.2408376963350785,-78.75,1.1514,93.6903396311556,,7,7,0.36923076923076925,29
3,-3.298429319371728,-78.75,1.1514,61.25853050012062,,2,8,0.48214285714285715,38
4,-2.356020942408377,-78.75,1.1514,26.079305543956952,,1,6,0.55,22
5,-1.4136125654450262,-78.75,1.1514,9.367337096978218,,0,5,0.65,18
6,-8.952879581151834,-77.5,1.1514,3.008470164353695,,0,25,0.24833333333333332,174
7,-8.010471204188482,-77.5,1.1514,73.72073704035654,,4,15,0.35294117647058826,81
8,-7.0680628272251305,-77.5,1.1514,82.28378796747282,,6,11,0.40476190476190477,55
9,-6.12565445026178,-77.5,1.1514,100.26295526217022,,8,12,0.3790849673202614,63
10,-5.183246073298429,-77.5,1.1514,146.12220961071827,,12,9,0.32456140350877194,44
11,-4.2408376963350785,-77.5,1.1514,165.55896180849152,,17,8,0.28884462151394424,36
12,-3.298429319371728,-77.5,1.1514,176.01809987144713,,18,7,0.2996031746031746,30
13,-2.356020942408377,-77.5,1.1514,127.12182015789881,,7,7,0.3712121212121212,31
14,-1.4136125654450262,-77.5,1.1514,213.28265124529025,,10,10,0.32450331125827814,56
15,-0.4712041884816754,-77.5,1.1514,188.30608883738398,,6,12,0.3516949152542373,69
16,0.4712041884816754,-77.5,1.1514,151.13856912114068,,4,7,0.45714285714285713,27
17,-10.837696335078537,-76.25,1.1514,0.0,,0,22,0.29653679653679654,159
18,-9.895287958115185,-76.25,1.1514,17.640104981215696,,0,23,0.28063241106719367,165
19,-8.952879581151834,-76.25,1.1514,204.37798084594786,,6,32,0.21428571428571427,231
20,-8.010471204188482,-76.25,1.1514,157.90545393628165,,9,16,0.3438735177865613,82
21,-7.0680628272251305,-76.25,1.1514,173.25693510381595,,12,5,0.3523809523809524,12
22,-6.12565445026178,-76.25,1.1514,182.56007696858364,,17,5,0.3026315789473684,12
23,-5.183246073298429,-76.25,1.1514,203.56342204014382,,17,10,0.30833333333333335,43
24,-4.2408376963350785,-76.25,1.1514,188.43195279219137,,16,12,0.2854938271604938,55
25,-3.298429319371728,-76.25,1.1514,194.39393939725892,,17,11,0.2716049382716049,52
26,-2.356020942408377,-76.25,1.1514,184.66817076328775,,16,9,0.2490118577075099,40
27,-1.4136125654450262,-76.25,1.1514,206.49172947307298,,15,10,0.25298804780876494,53
28,-0.4712041884816754,-76.25,1.1514,236.27185894211993,,14,8,0.24867724867724866,33
29,0.4712041884816754,-76.25,1.1514,227.5241740057258,,9,5,0.3787878787878788,14
30,1.4136125654450262,-76.25,1.1514,164.15959174680233,,4,4,0.36666666666666664,9
31,-13.664921465968591,-75.0,1.1514,0.0,,0,0,0.0,0
32,-12.72251308900524,-75.0,1.1514,0.0,,0,10,0.36666666666666664,43
33,-11.780104712041888,-75.0,1.1514,33.79926434516418,,0,20,0.28157894736842104,127
34,-10.837696335078537,-75.0,1.1514,224.4816252153678,,5,30,0.20549242424242425,219
35,-9.895287958115185,-75.0,1.1514,246.76665499918306,,13,17,0.25925925925925924,89
36,-8.952879581151834,-75.0,1.1514,201.80403018936497,,18,10,0.26461538461538464,35
37,-8.010471204188482,-75.0,1.1514,172.4526732754017,,20,6,0.2717391304347826,16
38,-7.0680628272251305,-75.0,1.1514,173.6739156045634,,22,7,0.24074074074074073,22
39,-6.12565445026178,-75.0,1.1514,189.46793222646178,,23,8,0.22413793103448276,30
40,-5.183246073298429,-75.0,1.1514,192.4612151095669,,20,11,0.2204433497536946,51
41,-4.2408376963350785,-75.0,1.1514,200.48076088992698,,15,10,0.24703557312252963,40
42,-3.298429319371728,-75.0,1.1514,215.64591247986962,,17,8,0.24703557312252963,27
43,-2.356020942408377,-75.0,1.1514,207.7429812499276,,11,10,0.22514619883040934,41
44,-1.4136125654450262,-75.0,1.1514,207.85157572118652,,9,11,0.21895424836601307,46
