node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,1.0,39.72193479081862,35.310891865755146,0,0,0.0,0
1,-5.183246073298429,-78.75,1.0,54.17865098495073,63.16424616792185,1,4,0.16666666666666666,8
2,-4.2408376963350785,-78.75,1.0,86.37001308665543,52.26788623197836,2,4,0.25,9
3,-3.298429319371728,-78.75,1.0,91.20698949296619,39.4308690001841,2,4,0.25,9
4,-2.356020942408377,-78.75,1.0,125.3803437846384,71.73972027623677,2,8,0.2857142857142857,29
5,-1.4136125654450262,-78.75,1.0,157.900068282774,68.76322704149061,2,7,0.35714285714285715,24
6,-8.952879581151834,-77.5,1.0,32.9890277716656,58.596346356158456,1,2,0.0,3
7,-8.010471204188482,-77.5,1.0,38.73630319534257,57.313208123126614,2,2,0.0,2
8,-7.0680628272251305,-77.5,1.0,44.28252042031535,49.8767889622466,1,1,0.0,0
9,-6.12565445026178,-77.5,1.0,47.699075158862094,35.94469501797964,1,0,0.0,0
10,-5.183246073298429,-77.5,1.0,78.5059035655356,77.22860304951153,2,2,0.0,3
11,-4.2408376963350785,-77.5,1.0,120.70731327624246,94.21896592809915,3,5,0.23333333333333334,14
12,-3.298429319371728,-77.5,1.0,156.10578837826347,59.33150444567195,5,2,0.25,3
13,-2.356020942408377,-77.5,1.0,198.97674205610298,63.360111092861594,4,4,0.36666666666666664,11
14,-1.4136125654450262,-77.5,1.0,219.4173286116,49.70595274338635,4,3,0.45,7
15,-0.4712041884816754,-77.5,1.0,199.41642593196488,53.26698627265769,3,8,0.37142857142857144,35
16,0.4712041884816754,-77.5,1.0,167.78556733888848,58.55506523255397,2,9,0.32857142857142857,36
17,-10.837696335078537,-76.25,1.0,30.285998329154918,47.429888836101156,0,1,0.0,0
18,-9.895287958115185,-76.25,1.0,48.82184573945452,51.33908526927508,1,1,0.0,1
19,-8.952879581151834,-76.25,1.0,95.45234867817906,38.5708165129781,2,3,0.0,4
20,-8.010471204188482,-76.25,1.0,91.01316627364841,69.02696409078587,2,4,0.08333333333333333,8
21,-7.0680628272251305,-76.25,1.0,87.90524091385188,60.6588289077419,2,2,0.5,3
22,-6.12565445026178,-76.25,1.0,84.29494093154193,54.22973593255338,1,1,0.0,1
23,-5.183246073298429,-76.25,1.0,96.51688469833257,101.2674133154193,4,3,0.2222222222222222,7
24,-4.2408376963350785,-76.25,1.0,116.18192649734593,108.89113150968097,4,6,0.2692307692307692,20
25,-3.298429319371728,-76.25,1.0,142.17619388640375,110.11052033789632,7,7,0.1875,26
26,-2.356020942408377,-76.25,1.0,165.7607418470907,108.7835231300478,7,7,0.28125,28
27,-1.4136125654450262,-76.25,1.0,182.11433447769568,108.5782058196585,10,8,0.26495726495726496,36
28,-0.4712041884816754,-76.25,1.0,208.42035942332512,97.30737459199615,7,9,0.35795454545454547,44
29,0.4712041884816754,-76.25,1.0,277.65861138614076,83.80305100766184,4,11,0.33766233766233766,57
30,1.4136125654450262,-76.25,1.0,175.5069203261016,10.918792160795041,1,0,0.0,0
31,-13.664921465968591,-75.0,1.0,3.5029307646490726,25.543187527979864,0,0,0.0,0
32,-12.72251308900524,-75.0,1.0,24.257439762477535,40.673906963298954,0,0,0.0,0
33,-11.780104712041888,-75.0,1.0,55.33230054200791,45.64336806090236,1,3,0.5,6
34,-10.837696335078537,-75.0,1.0,122.51831481435738,41.63723593303801,2,5,0.2,11
35,-9.895287958115185,-75.0,1.0,103.68791694098161,66.60680779338398,4,4,0.2,6
36,-8.952879581151834,-75.0,1.0,65.44700481498577,47.851061022159755,4,0,0.16666666666666666,0
37,-8.010471204188482,-75.0,1.0,55.781002243411194,73.37137240828696,4,1,0.16666666666666666,1
38,-7.0680628272251305,-75.0,1.0,65.94054211662247,98.52087237904128,3,3,0.08333333333333333,5
39,-6.12565445026178,-75.0,1.0,85.89067052429559,98.64173125736117,3,3,0.2,7
40,-5.183246073298429,-75.0,1.0,122.88417727765388,101.22948307004569,5,6,0.20588235294117646,20
41,-4.2408376963350785,-75.0,1.0,172.8463189139675,103.73013537280427,5,8,0.27358490566037735,32
42,-3.298429319371728,-75.0,1.0,204.6904659752723,103.18313544956759,6,11,0.2621359223300971,55
43,-2.356020942408377,-75.0,1.0,235.70223037607647,103.23915906006172,6,13,0.30223880597014924,79
44,-1.4136125654450262,-75.0,1.0,251.09780980524468,103.52796650129889,8,14,0.28609625668449196,88
45,-0.4712041884816754,-75.0,1.0,238.0108399043243,101.60565342937026,8,12,0.32,68
46,0.4712041884816754,-75.0,1.0,220.68863508294024,104.95608189211727,6,9,0.3223684210526316,40
