node_id,threshold,in_degree,out_degree,clustering,ffl
0,1.0,5,8,0.4537037037037037,37
1,1.0,6,8,0.3923076923076923,37
2,1.0,6,12,0.3235294117647059,66
3,1.0,5,15,0.35333333333333333,98
4,1.0,4,16,0.4033333333333333,115
5,1.0,4,15,0.4323308270676692,107
6,1.0,5,15,0.3576158940397351,92
7,1.0,5,13,0.36554621848739494,71
8,1.0,6,9,0.3782051282051282,40
9,1.0,6,9,0.4090909090909091,45
10,1.0,8,8,0.37777777777777777,35
11,1.0,8,10,0.3305084745762712,52
12,1.0,7,9,0.4044943820224719,43
13,1.0,7,13,0.39932885906040266,84
14,1.0,6,15,0.39285714285714285,104
15,1.0,5,14,0.417910447761194,98
16,1.0,6,11,0.4803921568627451,67
17,1.0,2,13,0.42207792207792205,82
18,1.0,3,13,0.38461538461538464,75
19,1.0,5,20,0.2619047619047619,123
20,1.0,7,12,0.34558823529411764,55
21,1.0,9,6,0.41025641025641024,19
22,1.0,14,5,0.337037037037037,16
23,1.0,15,7,0.2765957446808511,27
24,1.0,12,9,0.26331360946745563,39
25,1.0,12,10,0.2872340425531915,49
26,1.0,11,10,0.32840236686390534,50
27,1.0,12,11,0.3357487922705314,59
28,1.0,11,11,0.40053763440860213,65
29,1.0,7,13,0.37333333333333335,80
30,1.0,4,6,0.5555555555555556,23
31,1.0,2,3,0.5,7
32,1.0,3,8,0.2714285714285714,29
33,1.0,2,9,0.3611111111111111,38
34,1.0,4,21,0.21626984126984128,132
35,1.0,8,10,0.2708333333333333,37
36,1.0,13,5,0.30833333333333335,15
37,1.0,14,6,0.3137254901960784,21
38,1.0,16,5,0.3058823529411765,16
39,1.0,13,7,0.2582781456953642,27
40,1.0,10,9,0.23507462686567165,41
41,1.0,10,12,0.2526595744680851,65
42,1.0,9,13,0.27925531914893614,77
43,1.0,11,15,0.2645985401459854,100
44,1.0,13,18,0.2531017369727047,126
45,1.0,13,15,0.2996894409937888,99
46,1.0,12,9,0.35502958579881655,44
47,1.0,10,6,0.38202247191011235,21
48,1.0,5,3,0.5714285714285714,7
49,1.0,6,3,0.5952380952380952,6
50,1.0,7,6,0.4818181818181818,21
51,1.0,9,16,0.2608695652173913,95
52,1.0,10,19,0.20797720797720798,101
53,1.0,13,7,0.3006535947712418,22
54,1.0,14,5,0.3014705882352941,15
55,1.0,16,6,0.2751322751322751,20
56,1.0,15,8,0.24519230769230768,34
57,1.0,11,8,0.26119402985074625,34
58,1.0,6,9,0.2894736842105263,41
59,1.0,8,10,0.2796610169491525,50
60,1.0,8,9,0.3155339805825243,42
