node_id,lat,lon,threshold,prec,evap,in_degree,out_degree,clustering,ffl
0,-6.12565445026178,-78.75,1.0,0.0,,0,8,0.3392857142857143,27
1,-5.183246073298429,-78.75,1.0,27.412262116833627,,0,8,0.32142857142857145,26
2,-4.2408376963350785,-78.75,1.0,144.43757444850897,,3,10,0.2545454545454545,39
3,-3.298429319371728,-78.75,1.0,93.83418913197757,,2,8,0.30357142857142855,27
4,-2.356020942408377,-78.75,1.0,43.501942737459984,,1,8,0.40476190476190477,32
5,-1.4136125654450262,-78.75,1.0,5.006979430102794,,0,11,0.34545454545454546,49
6,-8.952879581151834,-77.5,1.0,3.705198274636333,,0,17,0.2610294117647059,88
7,-8.010471204188482,-77.5,1.0,74.47270541394711,,2,12,0.32575757575757575,55
8,-7.0680628272251305,-77.5,1.0,94.60669142338594,,3,9,0.35555555555555557,34
9,-6.12565445026178,-77.5,1.0,139.92073552781196,,6,7,0.32727272727272727,23
10,-5.183246073298429,-77.5,1.0,197.0574031501633,,7,6,0.3,17
11,-4.2408376963350785,-77.5,1.0,209.75578719656158,,7,5,0.3111111111111111,14
12,-3.298429319371728,-77.5,1.0,221.6635938040089,,6,5,0.2916666666666667,12
13,-2.356020942408377,-77.5,1.0,199.87906594777894,,6,7,0.2909090909090909,24
14,-1.4136125654450262,-77.5,1.0,247.15857339018814,,6,8,0.3,30
15,-0.4712041884816754,-77.5,1.0,244.79709146785655,,4,10,0.328125,46
16,0.4712041884816754,-77.5,1.0,198.30824729833074,,2,8,0.37037037037037035,31
17,-10.837696335078537,-76.25,1.0,0.0,,0,12,0.30303030303030304,52
18,-9.895287958115185,-76.25,1.0,29.073154233364367,,0,11,0.34545454545454546,49
19,-8.952879581151834,-76.25,1.0,202.83975018086116,,4,14,0.2625,62
20,-8.010471204188482,-76.25,1.0,154.66532060599278,,6,8,0.3939393939393939,30
21,-7.0680628272251305,-76.25,1.0,197.02614577885532,,9,6,0.358974358974359,19
